Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
Drew Brees,287,286,172-114-0,7142,10551,67.7,80358,571,5.4,243,2.3,3961,51.2,98,7.6,7.66,11.3,280.0,98.7,420,2991,3.83,7.05,7.10,36,53,277,1
Peyton Manning,266,265,186-79-0,6125,9380,65.3,71940,539,5.7,251,2.7,3673,51.4,86,7.7,7.61,11.7,270.5,96.5,303,1953,3.13,7.23,7.17,43,54,271,1
Brett Favre,302,298,186-112-0,6300,10169,62.0,71838,508,5.0,336,3.3,3569,46.9,99,7.1,6.58,11.4,237.9,86.0,525,3487,4.91,6.39,5.93,28,43,259,1
Dan Marino,242,240,147-93-0,4967,8358,59.4,61361,420,5.0,252,3.0,3003,48.5,85,7.3,6.99,12.4,253.6,86.4,270,1930,3.13,6.89,6.55,33,47,216,1
Eli Manning,236,234,117-117-0,4895,8119,60.3,57023,366,4.5,244,3.0,2694,45.2,99,7.0,6.57,11.6,241.6,84.1,411,2870,4.82,6.35,5.92,27,37,169,0
John Elway,234,231,148-82-1,4123,7250,56.9,51475,300,4.1,226,3.1,2428,43.1,86,7.1,6.52,12.5,220.0,79.9,516,3785,6.64,6.14,5.6,31,40,206,1
Warren Moon,208.0,203.0,102-101-0,3988.0,6823.0,58.4,49325.0,291.0,4.3,233.0,3.4,2360.0,46.1,87.0,7.2,6.55,12.4,237.1,80.9,458.0,3415.0,6.29,6.31,5.66,25.0,35.0,163.0,1
Fran Tarkenton,246.0,239.0,124-109-6,3686.0,6467.0,57.0,47003.0,342.0,5.3,266.0,4.1,174.0,43.9,89.0,7.3,6.47,12.8,191.1,80.4,570.0,5207.0,8.1,5.94,5.21,29.0,33.0,233.0,1
Carson Palmer,182.0,181.0,92-88-1,3941.0,6307.0,62.5,46247.0,294.0,4.7,187.0,3.0,2301.0,47.4,91.0,7.3,6.93,11.7,254.1,87.9,340.0,2364.0,5.12,6.6,6.22,22.0,35.0,141.0,0
Vinny Testaverde,233,214,90-123-1,3787,6701,56.5,46233,275,4.1,267,4.0,2243,42.8,89,6.9,5.93,12.2,198.4,75.0,417,2992,5.86,6.07,5.16,29,33,141,0
Drew Bledsoe,194.0,193.0,98-95-0,3839.0,6717.0,57.2,44611.0,251.0,3.7,206.0,3.1,2209.0,43.1,86.0,6.6,6.01,11.6,230.0,77.1,467.0,3135.0,6.5,5.77,5.18,24.0,31.0,139.0,0
Dan Fouts,181,171,86-84-1,3297,5604,58.8,43040,254,4.5,242,4.3,1738.0,49.3,81,7.7,6.64,13.1,237.8,80.2,319,2304,5.39,6.88,5.9,21,23,163,1
Kerry Collins,198.0,180.0,81-99-0,3487.0,6261.0,55.7,40922.0,208.0,3.3,196.0,3.1,2024.0,42.7,89.0,6.5,5.79,11.7,206.7,73.8,337.0,2230.0,5.11,5.86,5.16,21.0,30.0,112.0,0
Joe Montana,192,164,117-47-0,3409,5391,63.2,40551,273,5.1,139,2.6,1958,47.8,96,7.5,7.37,11.9,211.2,92.3,313,2095,5.49,6.74,6.60,26,28,166,1
Johnny Unitas,211.0,185.0,118-63-4,2830.0,5186.0,54.6,40239.0,290.0,5.6,253.0,4.9,,,89.0,7.8,6.68,14.2,190.7,78.2,307.0,3090.0,7.03,6.76,5.46,34.0,38.0,145.0,1
Dave Krieg,213.0,175.0,98-77-0,3105.0,5311.0,58.5,38147.0,261.0,4.9,199.0,3.7,1828.0,42.5,80.0,7.2,6.48,12.3,179.1,81.5,494.0,3794.0,8.51,5.92,5.27,23.0,25.0,138.0,0
Boomer Esiason,187.0,173.0,80-93-0,2969.0,5205.0,57.0,37920.0,247.0,4.7,184.0,3.5,1821.0,44.8,86.0,7.3,6.64,12.8,202.8,81.1,318.0,2438.0,5.76,6.42,5.82,19.0,26.0,137.0,0
Donovan McNabb,167.0,161.0,98-62-1,3170.0,5374.0,59.0,37276.0,234.0,4.4,117.0,2.2,1727.0,43.3,91.0,6.9,6.83,11.8,223.2,85.6,410.0,2626.0,7.09,5.99,5.89,16.0,24.0,138.0,0
Matt Hasselbeck,209.0,160.0,85-75-0,3222.0,5330.0,60.5,36638.0,212.0,4.0,153.0,2.9,1830.0,45.3,87.0,6.9,6.38,11.4,175.3,82.4,360.0,2260.0,6.33,6.04,5.58,15.0,24.0,110.0,0
Alex Smith,174,167,99-67-1,3250,5193,62.6,35650,199,3.8,109,2.1,1696,42.5,80,6.9,6.69,11.0,204.9,86.9,432,2463,7.68,5.90,5.74,19,23,120,0
Jim Kelly,160,160,101-59-0,2874,4779,60.1,35467,237,5.0,175,3.7,1666,47.0,84,7.4,6.77,12.3,221.7,84.4,323,2427,6.33,6.48,5.86,21,28,132,1
Jay Cutler,153.0,153.0,74-79-0,3048.0,4920.0,62.0,35133.0,227.0,4.6,160.0,3.3,1695.0,45.0,93.0,7.1,6.6,11.5,229.6,85.3,322.0,2035.0,6.14,6.31,5.81,23.0,28.0,109.0,0
Jim Everett,158.0,153.0,64-89-0,2841.0,4923.0,57.7,34837.0,203.0,4.1,175.0,3.6,1692.0,45.4,81.0,7.1,6.3,12.3,220.5,78.6,257.0,1885.0,4.96,6.36,5.62,11.0,14.0,108.0,0
Jim Hart,201.0,180.0,87-88-5,2593.0,5076.0,51.1,34665.0,209.0,4.1,247.0,4.9,510.0,39.2,98.0,6.8,5.46,13.4,172.5,66.6,282.0,2305.0,5.26,6.04,4.75,20.0,23.0,131.0,0
Tony Romo,156,127,78-49-0,2829,4335,65.3,34183,248,5.7,117,2.7,1659,50.2,85.0,7.9,7.81,12.1,219.1,97.1,248,1672,5.41,7.09,7.03,24,29,115,0
John Hadl,224.0,166.0,82-75-9,2363.0,4687.0,50.4,33503.0,244.0,5.2,268.0,5.7,,,85.0,7.1,5.62,14.2,149.6,67.4,284.0,2595.0,5.71,6.22,4.77,15.0,15.0,146.0,0
Phil Simms,164,159,95-64-0,2576,4647,55.4,33462,199,4.3,157,3.4,1598,41.9,80,7.2,6.54,13.0,204.0,78.5,477,3418,9.31,5.86,5.26,11,17,118,0
Steve Young,169.0,143.0,94-49-0,2667.0,4149.0,64.3,33124.0,232.0,5.6,107.0,2.6,1586.0,48.7,97.0,8.0,7.94,12.4,196.0,96.8,358.0,2055.0,7.94,6.89,6.85,13.0,16.0,168.0,1
Y.A. Tittle,204.0,152.0,78-50-5,2427.0,4395.0,55.2,33070.0,242.0,5.5,248.0,5.6,,,80.0,7.5,6.09,13.6,162.1,74.3,167.0,3571.0,7.66,6.47,5.82,24.0,23.0,47.0,1
Troy Aikman,165,165,94-71-0,2898,4715,61.5,32942,165,3.5,141,3.0,1627,45.5,90,7.0,6.34,11.4,199.6,81.6,259,1748,5.21,6.27,5.66,15,20,120,1
Ken Anderson,192,172,91-81-0,2654,4475,59.3,32838,197,4.4,160,3.6,838.0,46.6,94,7.3,6.61,12.4,171.0,81.9,398,2875,8.17,6.15,5.48,10,14,160,0
Kurt Warner,124.0,116.0,67-49-0,2666.0,4070.0,65.5,32344.0,208.0,5.1,128.0,3.1,1545.0,49.7,85.0,7.9,7.55,12.1,260.8,93.7,260.0,1669.0,6.0,7.08,6.71,7.0,11.0,113.0,1
Sonny Jurgensen,218.0,147.0,69-71-7,2433.0,4262.0,57.1,32224.0,255.0,6.0,189.0,4.4,,,99.0,7.6,6.76,13.2,147.8,82.6,294.0,2541.0,6.59,6.52,5.81,18.0,14.0,136.0,1
Mark Brunell,193.0,151.0,78-73-0,2761.0,4640.0,59.5,32072.0,184.0,4.0,108.0,2.3,1579.0,44.0,79.0,6.9,6.66,11.6,166.2,84.0,390.0,2395.0,7.75,5.9,5.67,16.0,22.0,120.0,0
John Brodie,201,158,74-76-8,2469,4491,55.0,31548,214,4.8,224,5.0,,,83,7.0,5.73,12.8,157.0,72.3,207.0,1855.0,4.66,6.32,5.19,21,22,129.0,0
Steve McNair,161.0,153.0,91-62-0,2733.0,4544.0,60.1,31304.0,174.0,3.8,119.0,2.6,1568.0,45.3,87.0,6.9,6.48,11.5,194.4,82.8,254.0,1567.0,5.29,6.2,5.81,15.0,21.0,125.0,0
Norm Snead,178.0,159.0,52-100-7,2276.0,4353.0,52.3,30797.0,196.0,4.5,257.0,5.9,,,94.0,7.1,5.32,13.5,173.0,65.5,350.0,2735.0,7.44,5.97,4.34,14.0,19.0,114.0,0
Randall Cunningham,161,135,82-52-1,2429,4289,56.6,29979,207,4.8,134,3.1,1387,40.8,95,7.0,6.55,12.3,186.2,81.5,484,3537,10.14,5.54,5.14,19,24,137,0
Joe Ferguson,186.0,171.0,79-92-0,2369.0,4519.0,52.4,29817.0,196.0,4.3,209.0,4.6,974.0,40.7,92.0,6.6,5.38,12.6,160.3,68.4,312.0,2710.0,6.46,5.61,4.48,20.0,24.0,106.0,0
Jon Kitna,141.0,124.0,50-74-0,2677.0,4442.0,60.3,29745.0,169.0,3.8,165.0,3.7,1475.0,45.0,91.0,6.7,5.79,11.1,211.0,77.4,323.0,1987.0,6.78,5.83,4.98,18.0,22.0,90.0,0
Roman Gabriel,183.0,157.0,86-64-7,2366.0,4498.0,52.6,29444.0,201.0,4.5,149.0,3.3,,,93.0,6.5,5.95,12.4,160.9,74.3,360.0,2711.0,7.41,5.5,4.95,16.0,15.0,130.0,0
Jake Plummer,143.0,136.0,69-67-0,2484.0,4350.0,57.1,29253.0,161.0,3.7,161.0,3.7,1409.0,42.6,85.0,6.7,5.8,11.8,204.6,74.6,284.0,1735.0,6.13,5.94,5.07,20.0,30.0,92.0,0
Brad Johnson,177.0,125.0,72-53-0,2668.0,4326.0,61.7,29054.0,166.0,3.8,122.0,2.8,1405.0,43.9,82.0,6.7,6.21,10.9,164.1,82.5,251.0,1616.0,5.48,5.99,5.52,14.0,27.0,93.0,0
Rich Gannon,157,132,76-56-0,2533,4206,60.2,28743,180,4.3,104,2.5,1425,45.0,84,6.8,6.58,11.3,183.1,84.7,302,1689,6.70,6.00,5.76,16,20,118,0
Len Dawson,211.0,159.0,94-57-8,2136.0,3741.0,57.1,28711.0,239.0,6.4,183.0,4.9,,,92.0,7.7,6.75,13.4,136.1,82.6,376.0,3428.0,9.17,6.14,5.33,15.0,16.0,143.0,1
Chris Chandler,180.0,152.0,67-85-0,2328.0,4005.0,58.1,28484.0,170.0,4.2,146.0,3.6,1326.0,42.6,94.0,7.1,6.32,12.2,158.2,79.1,380.0,2590.0,8.67,5.91,5.18,10.0,15.0,103.0,0
Trent Green,120,113,56-57-0,2266,3740,60.6,28475,162,4.3,114,3.0,1372,45.9,99,7.6,7.11,12.6,237.3,86.0,259,1621,6.48,6.72,6.24,15,19,110,0
Ron Jaworski,188.0,143.0,73-69-1,2187.0,4117.0,53.1,28190.0,179.0,4.3,164.0,4.0,1202.0,39.9,99.0,6.8,5.92,12.9,149.9,72.8,363.0,2826.0,8.1,5.66,4.81,17.0,23.0,107.0,0
Terry Bradshaw,168,158,107-51-0,2025,3901,51.9,27989,212,5.4,210,5.4,685.0,44.2,90,7.2,5.84,13.8,166.6,70.9,307,2694,7.3,6.01,4.77,15,23,140,1
Ken Stabler,184.0,146.0,96-49-1,2270.0,3793.0,59.8,27938.0,194.0,5.1,222.0,5.9,755.0,44.4,88.0,7.4,5.75,12.3,151.8,75.3,281.0,2514.0,6.9,6.24,4.74,16.0,23.0,118.0,1
Craig Morton,207,144,81-62-1,2053,3786,54.2,27908,183,4.8,187,4.9,469,42.8,95,7.4,6.12,13.6,134.8,73.5,405,3040,9.66,5.93,4.80,12,21,118,0
Joe Namath,140.0,129.0,62-63-4,1886.0,3762.0,50.1,27663.0,173.0,4.6,220.0,5.8,,,91.0,7.4,5.64,14.7,197.6,65.5,170.0,1621.0,4.32,6.62,4.99,15.0,15.0,115.0,1
Jeff George,131.0,124.0,46-78-0,2298.0,3967.0,57.9,27602.0,154.0,3.9,113.0,2.8,1290.0,42.5,85.0,7.0,6.45,12.0,210.7,80.4,358.0,2691.0,8.28,5.76,5.3,8.0,17.0,79.0,0
George Blanda,340,106,53-50-1,1911,4007,47.7,26920,236,5.9,277,6.9,,,95,6.7,4.79,14.1,79.2,60.6,88,1188,2.83,6.28,4.72,17,17,128,1
Steve Grogan,149,135,75-60-0,1879,3593,52.3,26886,182,5.1,208,5.8,933.0,42.4,76,7.5,5.89,14.3,180.4,69.6,247,1986,6.43,6.48,4.99,13,20,117,0
Bobby Layne,175.0,145.0,80-48-4,1814.0,3700.0,49.0,26768.0,196.0,5.3,243.0,6.6,,,97.0,7.2,5.34,14.8,153.0,63.4,36.0,1860.0,5.74,6.67,4.44,18.0,19.0,21.0,1
Jim Harbaugh,177.0,140.0,66-74-0,2305.0,3918.0,58.8,26288.0,129.0,3.3,117.0,3.0,1259.0,42.4,85.0,6.7,6.02,11.4,148.5,77.6,361.0,2132.0,8.44,5.65,5.02,15.0,19.0,102.0,0
Jim Plunkett,157.0,144.0,72-72-0,1943.0,3701.0,52.5,25882.0,164.0,4.4,198.0,5.3,573.0,43.8,99.0,7.0,5.47,13.3,164.9,67.5,380.0,3279.0,9.31,5.54,4.16,18.0,22.0,108.0,0
Jeff Garcia,125.0,116.0,58-58-0,2264.0,3676.0,61.6,25537.0,161.0,4.4,83.0,2.3,1239.0,46.2,99.0,6.9,6.81,11.3,204.3,87.5,181.0,947.0,4.69,6.38,6.24,11.0,17.0,104.0,0
Matt Schaub,155.0,93.0,47-46-0,2148.0,3348.0,64.2,25467.0,136.0,4.1,91.0,2.7,1243.0,48.1,80.0,7.6,7.2,11.9,164.3,89.5,180.0,1245.0,5.1,6.87,6.48,11.0,14.0,79.0,0
Joe Theismann,167,124,77-47-0,2044,3602,56.7,25206,160,4.4,138,3.8,1079.0,42.9,84,7.0,6.16,12.3,150.9,77.4,340,2757,8.63,5.69,4.93,18,22,107,0
Ken O'Brien,129.0,110.0,50-59-1,2110.0,3602.0,58.6,25094.0,128.0,3.6,98.0,2.7,1242.0,45.0,96.0,7.0,6.45,11.9,194.5,80.4,353.0,2654.0,8.93,5.67,5.21,13.0,16.0,87.0,0
Bob Griese,161.0,151.0,92-56-3,1926.0,3429.0,56.2,25092.0,192.0,5.6,172.0,5.0,229.0,44.1,86.0,7.3,6.18,13.0,155.9,77.1,335.0,2930.0,8.9,5.89,4.85,15.0,19.0,138.0,1
Tommy Kramer,129.0,110.0,54-56-0,2012.0,3651.0,55.1,24777.0,159.0,4.4,158.0,4.3,1174.0,42.2,76.0,6.8,5.71,12.3,192.1,72.8,249.0,1586.0,6.38,5.95,4.94,15.0,19.0,84.0,0
Bart Starr,196,157,94-57-6,1808,3149,57.4,24718,152,4.8,138,4.4,,,91,7.8,6.84,13.7,126.1,80.5,287.0,2960,9.94,6.33,5.69,18,17,115.0,1
Daunte Culpepper,105.0,100.0,41-59-0,2016.0,3199.0,63.0,24153.0,149.0,4.7,106.0,3.3,1157.0,46.7,82.0,7.6,6.99,12.0,230.0,87.8,298.0,1696.0,8.52,6.42,5.91,11.0,17.0,98.0,0
Steve Bartkowski,129.0,127.0,59-68-0,1932.0,3456.0,55.9,24124.0,156.0,4.5,144.0,4.2,974.0,42.1,86.0,7.0,6.01,12.5,187.0,75.4,356.0,2956.0,9.34,5.55,4.67,18.0,21.0,84.0,0
Steve Beuerlein,147,102,47-55-0,1894,3328,56.9,24046,147,4.4,112,3.4,1171,43.2,88,7.2,6.59,12.7,163.6,80.3,332,2124,9.07,5.99,5.42,13,16,85,0
Archie Manning,151,139,35-101-3,2011,3642,55.2,23911,125,3.4,173,4.8,616,41.4,85,6.6,5.11,11.9,158.4,67.1,396,3092,9.81,5.16,3.85,11,12,94,0
Brian Sipe,125,112,57-55-0,1944,3439,56.5,23713,154,4.5,149,4.3,905.0,43.4,74,6.9,5.84,12.2,189.7,74.8,224,1889,6.12,5.96,4.97,17,23,87,0
Andrew Luck,86,86,53-33-0,2000,3290,60.8,23671,171,5.2,83,2.5,1166,47.0,87,7.2,7.10,11.8,275.2,89.5,174,1124,5.02,6.51,6.42,16,20,80,0
Norm Van Brocklin,140.0,101.0,61-36-4,1553.0,2895.0,53.6,23611.0,173.0,6.0,178.0,6.1,,,91.0,8.2,6.58,15.2,168.7,75.1,10.0,929.0,3.4,7.81,7.11,19.0,17.0,17.0,1
Otto Graham,126.0,114.0,57-13-1,1464.0,2626.0,55.8,23584.0,174.0,6.6,135.0,5.1,,,99.0,9.0,7.99,16.1,187.2,86.6,75.0,2245.0,7.8,7.9,7.64,12.0,10.0,,1
Lynn Dickey,152.0,111.0,45-63-3,1747.0,3125.0,55.9,23322.0,141.0,4.5,179.0,5.7,859.0,43.5,95.0,7.5,5.79,13.3,153.4,70.9,297.0,2423.0,8.68,6.11,4.58,12.0,18.0,80.0,0
Bernie Kosar,126.0,108.0,53-54-1,1994.0,3365.0,59.3,23301.0,124.0,3.7,87.0,2.6,1079.0,43.7,97.0,6.9,6.5,11.7,184.9,81.8,273.0,1660.0,7.5,5.95,5.55,14.0,16.0,79.0,0
Marc Bulger,96,95,41-54-0,1969,3171,62.1,22814,122,3.8,93,2.9,1107,45.3,80,7.2,6.64,11.6,237.6,84.4,254,1863,7.42,6.12,5.61,12,16,64,0
Neil Lomax,108,101,47-51-2,1817,3153,57.6,22771,136,4.3,90,2.9,1045,42.6,93,7.2,6.8,12.5,210.8,82.7,362,2700,10.3,5.71,5.33,11,12,82,0
Roger Staubach,131,114,85-29-0,1685,2958,57.0,22700,153,5.2,109,3.7,332.0,45.0,91,7.7,7.05,13.5,173.3,83.4,313,2154,9.57,6.28,5.72,13,21,127,1
Babe Parilli,189.0,101.0,49-45-7,1552.0,3330.0,46.6,22681.0,178.0,5.3,220.0,6.6,,,90.0,6.8,4.91,14.6,120.0,59.6,178.0,2132.0,6.23,5.86,4.47,17.0,13.0,71.0,0
Michael Vick,143,115,61-51-1,1807,3217,56.2,22464,133,4.1,88,2.7,1046,40.5,91,7.0,6.58,12.4,157.1,80.4,316,1879,8.94,5.83,5.46,14,15,112,0
Danny White,166,92,62-30-0,1761,2950,59.7,21959,155,5.3,132,4.5,1071.0,45.2,80,7.4,6.48,12.5,132.3,81.7,241,2083,7.55,6.23,5.34,11,14,104,0
Sammy Baugh,167,84,11-10-0,1693,2995,56.5,21886,187,6.2,203,6.8,,,86,7.3,5.51,12.9,131.1,72.2,,443.0,,,,6,16,,1
Jeff Blake,119.0,100.0,39-61-0,1827.0,3241.0,56.4,21711.0,134.0,4.1,99.0,3.1,1017.0,42.0,88.0,6.7,6.15,11.9,182.4,78.0,248.0,1550.0,7.11,5.78,5.27,12.0,16.0,81.0,0
Neil O'Donnell,125.0,100.0,55-45-0,1865.0,3229.0,57.8,21690.0,120.0,3.7,68.0,2.1,1030.0,41.7,89.0,6.7,6.51,11.6,173.5,81.8,259.0,1906.0,7.43,5.67,5.48,15.0,18.0,73.0,0
Bobby Hebert,118,100,56-44-0,1839,3121,58.9,21683,135,4.3,124,4.0,1065,45.6,98,6.9,6.02,11.8,183.8,78.0,178,1255,5.40,6.19,5.32,11,16,79,0
Gus Frerotte,147.0,93.0,45-47-1,1699.0,3106.0,54.7,21291.0,114.0,3.7,106.0,3.4,1039.0,41.3,99.0,6.9,6.05,12.5,144.8,74.2,207.0,1328.0,6.25,6.03,5.27,8.0,10.0,66.0,0
Jack Kemp,122,105,65-37-3,1436,3073,46.7,21218,114,3.7,183,6.0,,,94,6.9,4.97,14.8,173.9,57.3,214,2030,6.55,5.84,4.06,11,11,83,0
Jim Zorn,140.0,106.0,44-62-0,1669.0,3149.0,53.0,21115.0,111.0,3.5,141.0,4.5,774.0,42.1,82.0,6.7,5.4,12.7,150.8,67.3,213.0,1585.0,6.34,5.81,4.58,9.0,12.0,88.0,0
Jake Delhomme,103.0,96.0,56-40-0,1741.0,2932.0,59.4,20975.0,126.0,4.3,101.0,3.4,979.0,44.1,80.0,7.2,6.46,12.0,203.6,81.3,168.0,1267.0,5.42,6.36,5.7,19.0,24.0,66.0,0
Earl Morrall,255,102,63-36-3,1379,2689,51.3,20809,161,6.0,148,5.5,,,98,7.7,6.46,15.1,81.6,74.1,197,2182,8.55,6.45,5.53,14,11,86,0
